# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StreamlinedBlobStorage.recordsDeleted,1755220909868000000,1755220969620000000,0
FilePageCache.capacityInBytes,1755220909868000000,1755220969620000000,629145600
FilePageCache.pageHits,1755220909868000000,1755220969620000000,0
DirectByteBufferAllocator.hits,1755220909868000000,1755220969620000000,0
FilePageCache.totalPageLoadsUs,1755220909868000000,1755220969620000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1755220909868000000,1755220969620000000,0
StorageLockContext.competingThreads.max,1755220909868000000,1755220969620000000,0
FilePageCache.pageFastCacheHits,1755220909868000000,1755220969620000000,0
DirectByteBufferAllocator.reclaimed,1755220909868000000,1755220969620000000,0
MappedFileStorage.totalBytesMapped,1755220909868000000,1755220969620000000,164626432
workspaceModel.on.before.changed.ms,1755220909868000000,1755220969620000000,0
workspaceModel.replace.project.model.ms,1755220909868000000,1755220969620000000,0
workspaceModel.initializing.ms,1755220909868000000,1755220969620000000,0
workspaceModel.loading.from.cache.ms,1755220909868000000,1755220969620000000,0
workspaceModel.cachedValueWithParameters.clear.count,1755220909868000000,1755220969620000000,0
workspaceModel.updates.count,1755220909868000000,1755220969620000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1755220909868000000,1755220969620000000,0
workspaceModel.init.bridges.ms,1755220909868000000,1755220969620000000,0
workspaceModel.cachedValue.calculated.count,1755220909868000000,1755220969620000000,0
workspaceModel.update.unloaded.entities.ms,1755220909868000000,1755220969620000000,0
workspaceModel.on.changed.ms,1755220909868000000,1755220969620000000,0
workspaceModel.cachedValue.total.get.count,1755220909868000000,1755220969620000000,0
workspaceModel.check.recursive.update.ms,1755220909868000000,1755220969620000000,0
workspaceModel.updates.ms,1755220909868000000,1755220969620000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1755220909868000000,1755220969620000000,0
workspaceModel.cachedValue.from.cache.count,1755220909868000000,1755220969620000000,0
workspaceModel.updates.precise.ms,1755220909868000000,1755220969620000000,0
workspaceModel.cachedValue.clear.count,1755220909868000000,1755220969620000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1755220909868000000,1755220969620000000,0
workspaceModel.full.replace.project.model.ms,1755220909868000000,1755220969620000000,0
workspaceModel.collect.changes.ms,1755220909868000000,1755220969620000000,0
workspaceModel.pre.handlers.ms,1755220909868000000,1755220969620000000,0
workspaceModel.loading.total.ms,1755220909868000000,1755220969620000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1755220909868000000,1755220969620000000,0
workspaceModel.to.snapshot.ms,1755220909868000000,1755220969620000000,0
VFS.contentStorage.recordsStored,1755220909868000000,1755220969620000000,0
VFS.invertedFileNameIndex.requests,1755220909868000000,1755220969620000000,0
VFS.fileByIdCache.misses,1755220909868000000,1755220969620000000,0
VFS.fileByIdCache.hits,1755220909868000000,1755220969620000000,0
FileNameCache.queries,1755220909868000000,1755220969620000000,0
VFS.contentStorage.recordsDeduplicated,1755220909868000000,1755220969620000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1755220909868000000,1755220969620000000,0
VFS.contentStorage.recordsReadSize,1755220909868000000,1755220969620000000,0
VFS.contentStorage.recordsReadDecompressed,1755220909868000000,1755220969620000000,0
VFS.contentStorage.recordsRead,1755220909868000000,1755220969620000000,0
VFS.contentStorage.recordsStoredCompressed,1755220909868000000,1755220969620000000,0
VFS.contentStorage.recordsUncompressedSize,1755220909868000000,1755220969620000000,0
VFS.fileChildByName,1755220909868000000,1755220969620000000,0
VFS.contentStorage.recordsStoredSize,1755220909868000000,1755220969620000000,0
FileNameCache.totalMisses,1755220909868000000,1755220969620000000,0
DiskQueryRelay.tasksRequested,1755220909868000000,1755220969620000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1755220909868000000,1755220969620000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1755220909868000000,1755220969620000000,0
DiskQueryRelay.tasksExecuted,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1755220909868000000,1755220969620000000,0
jps.global.get.library.ms,1755220909868000000,1755220969620000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1755220909868000000,1755220969620000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1755220909868000000,1755220969620000000,0
workspaceModel.global.updates.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1755220909868000000,1755220969620000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1755220909868000000,1755220969620000000,0
workspaceModel.save.cache.to.file.ms,1755220909868000000,1755220969620000000,0
jps.global.get.library.by.name.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1755220909868000000,1755220969620000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1755220909868000000,1755220969620000000,0
jps.load.initial.state.ms,1755220909868000000,1755220969620000000,0
